Month,Day1,Day2,Day3,Day4
1,133,59,28,18
2,120,45,21,11
3,108,39,23,10
4,101,40,27,18
5,103,32,15,9
6,63,16,3,0
7,77,13,4,0
8,120,45,16,9
9,74,20,6,4
10,102,35,16,3
11,142,72,31,17
12,136,62,31,20
